state,category,material,material_cost,labor_hours,state_labor_rate,labor_cost,complexity,quality,demand_level,demand_factor,total_cost,market_price,recommended_price
Uttar Pradesh,Bamboo Toy,Bamboo,221.39,4.9,47.59,233.19,2,5,Very High,1.2,454.58,610.07,700.79
Odisha,Bamboo Toy,Cane,145.16,2.3,73.34,168.68,1,5,Low,0.9,313.84,513.96,433.74
Tamil Nadu,Metal Craft,Iron,348.18,7.5,55.44,415.8,4,5,Medium,1.0,763.98,1003.52,1087.73
Tamil Nadu,Wooden Toy,Bamboo,169.37,3.3,70.97,234.2,3,3,High,1.1,403.57,613.75,629.18
Gujarat,Wooden Toy,Bamboo,139.07,5.4,68.09,367.69,4,3,High,1.1,506.76,674.6,716.58
Telangana,Metal Craft,Copper,385.65,9.1,51.75,470.92,5,5,High,1.1,856.57,1513.73,1523.04
Rajasthan,Textile Craft,Wool,213.2,9.8,54.59,534.98,1,4,Very High,1.2,748.18,1133.33,1175.83
Gujarat,Home Decor,Wood,139.97,8.1,78.64,636.98,3,3,Medium,1.0,776.95,1314.03,1206.39
Telangana,Home Decor,Clay,39.11,11.8,53.77,634.49,1,4,High,1.1,673.6,884.04,1002.13
Karnataka,Handmade Jewelry,Beads,282.97,10.3,66.72,687.22,1,3,Very High,1.2,970.19,1674.94,1684.59
West Bengal,Bamboo Craft,Cane,260.72,6.4,76.82,491.65,1,5,Medium,1.0,752.37,1184.93,1091.14
Odisha,Handmade Jewelry,Brass,737.77,9.7,66.26,642.72,2,4,Medium,1.0,1380.49,2325.63,2054.08
West Bengal,Textile Craft,Silk,386.76,8.5,53.83,457.56,2,2,Medium,1.0,844.32,1180.12,1112.27
Uttar Pradesh,Wood Craft,Bamboo,87.88,8.3,60.97,506.05,2,4,Low,0.9,593.93,912.07,839.86
Telangana,Bamboo Toy,Cane,146.98,3.8,56.78,215.76,4,2,High,1.1,362.74,474.74,495.46
Gujarat,Wooden Toy,Bamboo,109.0,6.2,82.42,511.0,4,3,High,1.1,620.0,914.95,899.47
West Bengal,Pottery,Terracotta,172.3,3.8,68.47,260.19,2,5,Very High,1.2,432.49,572.43,682.93
Gujarat,Bamboo Toy,Bamboo,91.12,7.2,75.2,541.44,2,4,Low,0.9,632.56,962.1,809.04
Karnataka,Metal Craft,Copper,496.77,4.6,58.39,268.59,3,3,Low,0.9,765.36,1266.68,1116.76
Karnataka,Clay/Terracotta Toy,Clay,126.75,2.8,78.62,220.14,5,2,Very High,1.2,346.89,544.13,585.56
Karnataka,Clay/Terracotta Toy,Terracotta,147.91,4.3,64.83,278.77,1,1,Low,0.9,426.68,582.27,516.04
West Bengal,Wooden Toy,Wood,397.81,6.3,68.26,430.04,3,4,Very High,1.2,827.85,1201.45,1249.53
Gujarat,Bamboo Toy,Bamboo,213.6,5.8,81.3,471.54,2,5,Medium,1.0,685.14,892.43,892.24
Telangana,Handmade Jewelry,Copper,637.66,2.9,63.91,185.34,5,1,Medium,1.0,823.0,1577.65,1403.7
Odisha,Home Decor,Bamboo,143.05,10.6,55.57,589.04,1,1,Very High,1.2,732.09,957.32,1111.81
Andhra Pradesh,Bamboo Craft,Bamboo,113.2,6.7,54.49,365.08,1,3,Medium,1.0,478.28,622.68,639.97
Telangana,Textile Craft,Silk,395.39,11.2,68.61,768.43,3,3,Low,0.9,1163.82,1540.46,1516.54
Andhra Pradesh,Pottery,Clay,78.95,8.0,61.54,492.32,5,3,High,1.1,571.27,802.57,890.29
Andhra Pradesh,Wood Craft,Wood,123.59,5.8,65.31,378.8,4,3,Low,0.9,502.39,685.18,650.48
Telangana,Metal Craft,Brass,733.96,15.0,58.47,877.05,2,4,Low,0.9,1611.01,2697.5,2254.4
Rajasthan,Bamboo Toy,Cane,188.16,2.3,56.44,129.81,1,4,Very High,1.2,317.97,371.31,453.79
Rajasthan,Pottery,Terracotta,166.28,8.1,63.85,517.18,2,2,Medium,1.0,683.46,759.79,814.35
Tamil Nadu,Handmade Jewelry,Beads,399.68,6.3,81.14,511.18,2,4,High,1.1,910.86,1559.46,1506.62
Rajasthan,Bamboo Toy,Bamboo,72.45,7.8,74.02,577.36,1,4,Medium,1.0,649.81,833.89,817.26
Kerala,Metal Craft,Iron,427.46,4.6,71.51,328.95,1,4,Very High,1.2,756.41,1286.78,1291.46
Odisha,Metal Craft,Brass,788.46,8.6,71.69,616.53,3,2,High,1.1,1404.99,2250.7,2191.05
Kerala,Textile Craft,Wool,213.57,10.6,73.08,774.65,3,5,Very High,1.2,988.22,1153.69,1436.27
Odisha,Wooden Toy,Bamboo,155.12,3.4,64.42,219.03,1,4,Medium,1.0,374.15,440.88,466.88
Telangana,Bamboo Craft,Bamboo,205.16,11.9,61.06,726.61,4,4,Medium,1.0,931.77,1546.24,1422.86
Kerala,Home Decor,Bamboo,132.85,5.5,66.45,365.48,4,1,High,1.1,498.33,656.09,717.22
West Bengal,Bamboo Toy,Bamboo,249.84,3.9,71.25,277.88,2,4,Medium,1.0,527.72,610.84,669.93
Odisha,Pottery,Terracotta,196.76,4.9,74.05,362.85,4,1,Very High,1.2,559.61,697.17,821.33
Uttar Pradesh,Handmade Jewelry,Copper,728.57,5.4,50.61,273.29,3,1,High,1.1,1001.86,1142.12,1334.86
West Bengal,Clay/Terracotta Toy,Clay,63.26,4.0,72.78,291.12,3,5,High,1.1,354.38,446.31,517.76
Telangana,Home Decor,Bamboo,101.7,13.0,76.55,995.15,4,5,Low,0.9,1096.85,2098.35,1808.36
Andhra Pradesh,Pottery,Terracotta,182.47,8.6,52.38,450.47,4,2,Medium,1.0,632.94,996.26,919.44
Karnataka,Bamboo Craft,Cane,235.09,5.3,74.63,395.54,4,4,High,1.1,630.63,926.72,929.18
West Bengal,Wood Craft,Wood,90.76,5.4,50.74,274.0,4,5,High,1.1,364.76,531.37,572.28
Andhra Pradesh,Clay/Terracotta Toy,Clay,71.65,4.6,77.74,357.6,3,3,Very High,1.2,429.25,535.08,634.75
West Bengal,Handmade Jewelry,Brass,534.28,11.1,58.72,651.79,4,3,Medium,1.0,1186.07,2180.55,2036.5
Gujarat,Wooden Toy,Wood,335.93,2.5,60.9,152.25,5,3,Low,0.9,488.18,808.43,677.73
West Bengal,Metal Craft,Iron,528.52,12.6,62.39,786.11,1,2,High,1.1,1314.63,1714.8,1828.26
Odisha,Bamboo Toy,Bamboo,50.23,2.1,68.06,142.93,4,1,Low,0.9,193.16,294.2,252.97
Karnataka,Bamboo Toy,Bamboo,149.84,7.6,73.98,562.25,4,2,Very High,1.2,712.09,1062.84,1135.41
Tamil Nadu,Home Decor,Cotton,103.02,5.9,55.19,325.62,1,5,Low,0.9,428.64,749.82,644.28
Gujarat,Wood Craft,Bamboo,198.69,10.0,71.14,711.4,4,2,Low,0.9,910.09,1037.09,1072.61
Uttar Pradesh,Bamboo Craft,Cane,207.66,3.3,66.07,218.03,1,1,High,1.1,425.69,546.5,550.52
Telangana,Metal Craft,Copper,650.57,13.7,70.31,963.25,2,5,Low,0.9,1613.82,2594.79,2388.93
Andhra Pradesh,Home Decor,Wood,91.05,3.8,54.28,206.26,1,3,High,1.1,297.31,347.99,405.3
West Bengal,Textile Craft,Wool,160.76,7.7,71.85,553.25,1,1,Low,0.9,714.0,831.6,821.11
Andhra Pradesh,Handmade Jewelry,Beads,388.14,4.6,63.07,290.12,1,1,Very High,1.2,678.26,1039.91,1047.06
Odisha,Bamboo Toy,Bamboo,216.28,3.7,74.52,275.72,1,1,Medium,1.0,492.0,609.39,584.89
Gujarat,Bamboo Toy,Bamboo,110.07,4.2,68.29,286.82,3,1,Medium,1.0,396.89,625.02,555.68
Karnataka,Pottery,Terracotta,41.39,7.2,64.84,466.85,2,2,Very High,1.2,508.24,615.96,717.16
Gujarat,Bamboo Craft,Cane,258.38,3.2,71.59,229.09,5,2,High,1.1,487.47,652.27,713.56
West Bengal,Wooden Toy,Bamboo,167.72,7.8,73.57,573.85,4,4,Low,0.9,741.57,1182.18,1037.79
Tamil Nadu,Home Decor,Bamboo,76.89,7.4,67.02,495.95,4,4,Medium,1.0,572.84,918.39,919.0
Odisha,Textile Craft,Cotton,131.56,4.8,51.51,247.25,5,3,Very High,1.2,378.81,652.09,667.12
Uttar Pradesh,Wooden Toy,Bamboo,133.26,4.6,68.99,317.35,4,4,High,1.1,450.61,786.12,756.34
West Bengal,Home Decor,Cotton,162.21,10.4,70.75,735.8,4,2,Low,0.9,898.01,1403.88,1289.31
Kerala,Clay/Terracotta Toy,Clay,175.6,7.9,89.87,709.97,1,2,Medium,1.0,885.57,940.99,1018.41
Kerala,Textile Craft,Wool,332.38,6.5,62.53,406.44,4,1,High,1.1,738.83,1273.62,1204.76
Gujarat,Clay/Terracotta Toy,Terracotta,67.3,5.4,76.16,411.26,3,5,Very High,1.2,478.56,821.54,843.65
West Bengal,Home Decor,Cotton,213.46,6.6,60.09,396.59,4,2,High,1.1,610.05,908.08,970.99
Tamil Nadu,Bamboo Craft,Cane,270.2,5.2,63.07,327.96,3,5,High,1.1,598.16,738.44,835.23
Gujarat,Metal Craft,Copper,256.94,4.0,70.23,280.92,2,3,Low,0.9,537.86,869.83,750.44
Kerala,Metal Craft,Iron,534.15,8.3,69.45,576.44,4,2,High,1.1,1110.59,1541.25,1702.54
Odisha,Pottery,Clay,78.59,2.1,64.6,135.66,1,2,Very High,1.2,214.25,280.53,293.45
Andhra Pradesh,Wood Craft,Wood,160.05,7.8,78.15,609.57,5,4,Medium,1.0,769.62,1452.05,1290.22
Kerala,Metal Craft,Brass,581.54,15.8,82.24,1299.39,1,1,High,1.1,1880.93,2170.77,2472.22
Tamil Nadu,Home Decor,Cotton,122.0,5.8,60.24,349.39,3,1,Medium,1.0,471.39,730.89,704.99
Uttar Pradesh,Metal Craft,Iron,284.27,8.0,45.46,363.68,1,5,Very High,1.2,647.95,845.36,1014.92
Gujarat,Handmade Jewelry,Brass,889.47,11.2,69.34,776.61,3,2,Medium,1.0,1666.08,2851.82,2548.3
Andhra Pradesh,Home Decor,Cotton,175.58,8.3,51.05,423.72,3,3,High,1.1,599.3,802.01,837.42
Kerala,Clay/Terracotta Toy,Clay,42.85,2.4,83.79,201.1,4,3,Medium,1.0,243.95,320.91,320.6
Rajasthan,Wood Craft,Bamboo,191.55,6.0,74.39,446.34,3,3,Medium,1.0,637.89,967.66,919.81
Karnataka,Wood Craft,Wood,396.31,6.5,71.37,463.91,2,3,Low,0.9,860.22,1207.49,1119.27
Karnataka,Metal Craft,Copper,457.23,9.5,81.78,776.91,5,2,Very High,1.2,1234.14,1646.12,1867.06
Gujarat,Handmade Jewelry,Copper,308.74,8.5,55.57,472.35,1,2,Medium,1.0,781.09,1277.08,1127.89
Gujarat,Wood Craft,Bamboo,115.38,13.6,58.99,802.26,4,3,Medium,1.0,917.64,1432.01,1311.41
West Bengal,Metal Craft,Brass,765.18,13.7,60.85,833.64,4,3,High,1.1,1598.82,2206.25,2307.3
Kerala,Bamboo Toy,Cane,168.18,2.5,79.04,197.6,3,4,High,1.1,365.78,433.27,493.95
Karnataka,Wood Craft,Wood,120.39,8.0,77.48,619.84,2,4,Very High,1.2,740.23,1160.18,1256.79
Odisha,Clay/Terracotta Toy,Terracotta,133.2,7.8,46.37,361.69,1,4,Very High,1.2,494.89,715.55,751.78
Karnataka,Wooden Toy,Wood,226.41,3.5,60.85,212.97,4,2,Low,0.9,439.38,523.51,509.25
Odisha,Pottery,Clay,72.28,4.4,68.1,299.64,4,4,Low,0.9,371.92,555.01,506.07
Gujarat,Wood Craft,Bamboo,82.01,6.4,70.06,448.38,3,4,High,1.1,530.39,880.29,856.37
Telangana,Pottery,Terracotta,192.09,7.9,50.48,398.79,5,1,Medium,1.0,590.88,697.53,754.06
Andhra Pradesh,Handmade Jewelry,Brass,866.71,5.4,59.36,320.54,1,2,Medium,1.0,1187.25,1403.35,1500.73
Kerala,Wooden Toy,Bamboo,189.02,3.8,66.73,253.57,2,4,Medium,1.0,442.59,544.11,554.66
Telangana,Wooden Toy,Bamboo,96.08,7.6,68.36,519.54,4,4,Very High,1.2,615.62,1060.07,1085.96
Uttar Pradesh,Metal Craft,Copper,745.14,6.8,53.27,362.24,4,1,Very High,1.2,1107.38,1810.89,1851.47
West Bengal,Textile Craft,Cotton,138.05,7.4,66.27,490.4,5,1,Very High,1.2,628.45,838.95,1010.79
Telangana,Metal Craft,Iron,548.52,15.9,67.0,1065.3,3,1,Medium,1.0,1613.82,1994.0,2030.95
Karnataka,Home Decor,Wood,351.41,5.3,76.94,407.78,5,2,Very High,1.2,759.19,1147.82,1241.7
Rajasthan,Bamboo Craft,Cane,106.02,4.4,45.11,198.48,1,5,Very High,1.2,304.5,408.47,448.7
Telangana,Bamboo Toy,Bamboo,230.64,7.6,77.07,585.73,2,5,Low,0.9,816.37,1052.28,1043.17
Gujarat,Bamboo Craft,Bamboo,160.66,11.6,79.22,918.95,3,5,Very High,1.2,1079.61,1713.14,1769.44
Kerala,Home Decor,Wood,342.38,10.3,64.27,661.98,3,3,Low,0.9,1004.36,1236.55,1259.02
Rajasthan,Textile Craft,Wool,156.85,9.7,56.58,548.83,4,4,Medium,1.0,705.68,1012.6,993.89
Odisha,Clay/Terracotta Toy,Clay,135.27,5.7,56.08,319.66,5,5,Very High,1.2,454.93,863.59,859.74
West Bengal,Bamboo Craft,Cane,196.2,4.8,50.22,241.06,1,4,Low,0.9,437.26,448.37,502.84
Uttar Pradesh,Textile Craft,Silk,532.48,11.1,74.36,825.4,3,4,Very High,1.2,1357.88,2060.75,2235.96
Karnataka,Wooden Toy,Bamboo,194.33,4.6,80.69,371.17,1,1,Low,0.9,565.5,839.0,718.36
Kerala,Bamboo Toy,Bamboo,130.59,3.7,64.83,239.87,3,4,Low,0.9,370.46,570.89,486.39
West Bengal,Clay/Terracotta Toy,Terracotta,173.43,4.0,62.9,251.6,4,3,Medium,1.0,425.03,654.41,641.72
Rajasthan,Metal Craft,Iron,460.16,8.3,50.79,421.56,2,3,Low,0.9,881.72,1248.39,1157.04
Rajasthan,Handmade Jewelry,Silver,767.59,9.6,50.32,483.07,4,2,Low,0.9,1250.66,1853.56,1683.94
West Bengal,Textile Craft,Wool,342.09,5.3,70.93,375.93,1,5,Low,0.9,718.02,1084.99,979.25
Andhra Pradesh,Pottery,Terracotta,213.72,7.5,60.88,456.6,2,5,High,1.1,670.32,1156.29,1092.38
Rajasthan,Wooden Toy,Bamboo,198.76,2.7,74.66,201.58,5,4,Low,0.9,400.34,500.84,507.05
West Bengal,Clay/Terracotta Toy,Terracotta,162.64,6.1,50.78,309.76,4,3,Low,0.9,472.4,627.55,622.79
Karnataka,Bamboo Toy,Bamboo,73.62,6.1,61.22,373.44,4,4,Very High,1.2,447.06,580.29,693.34
Kerala,Wood Craft,Wood,364.53,11.9,76.36,908.68,5,5,Very High,1.2,1273.21,2018.18,2152.08
Gujarat,Pottery,Clay,52.35,6.8,70.17,477.16,3,5,Medium,1.0,529.51,672.0,710.19
Andhra Pradesh,Wood Craft,Bamboo,240.09,4.1,64.6,264.86,4,2,Low,0.9,504.95,632.74,625.77
Rajasthan,Wooden Toy,Wood,190.09,8.1,60.57,490.62,4,1,Very High,1.2,680.71,890.52,976.18
Rajasthan,Clay/Terracotta Toy,Clay,88.27,7.5,70.73,530.48,4,3,High,1.1,618.75,954.29,915.89
Tamil Nadu,Clay/Terracotta Toy,Clay,179.05,6.7,69.59,466.25,1,5,High,1.1,645.3,1083.43,1033.58
Rajasthan,Home Decor,Wood,280.36,12.6,49.69,626.09,4,3,Low,0.9,906.45,1180.85,1203.21
Karnataka,Clay/Terracotta Toy,Clay,97.41,4.2,58.42,245.36,5,4,Medium,1.0,342.77,493.24,492.58
West Bengal,Handmade Jewelry,Copper,420.47,10.9,55.31,602.88,5,5,Medium,1.0,1023.35,1611.6,1610.68
Odisha,Bamboo Craft,Cane,215.51,11.9,72.6,863.94,3,4,Medium,1.0,1079.45,1331.8,1368.4
West Bengal,Wood Craft,Bamboo,226.03,6.2,50.06,310.37,3,2,Very High,1.2,536.4,870.5,855.31
Uttar Pradesh,Wood Craft,Wood,392.45,6.6,47.8,315.48,1,3,Medium,1.0,707.93,995.29,933.35
Telangana,Wooden Toy,Wood,97.72,9.1,76.24,693.78,3,4,Very High,1.2,791.5,1020.94,1238.64
Rajasthan,Bamboo Craft,Bamboo,134.6,3.9,63.49,247.61,4,4,High,1.1,382.21,501.31,565.31
Odisha,Bamboo Craft,Cane,144.5,8.7,50.82,442.13,4,3,Medium,1.0,586.63,817.69,847.02
Kerala,Handmade Jewelry,Brass,705.59,11.8,77.6,915.68,2,1,Low,0.9,1621.27,2439.86,2287.17
West Bengal,Handmade Jewelry,Beads,237.11,6.2,54.19,335.98,3,5,Low,0.9,573.09,897.28,840.63
Gujarat,Home Decor,Wood,217.16,12.5,57.52,719.0,2,1,High,1.1,936.16,1132.92,1253.17
Rajasthan,Clay/Terracotta Toy,Clay,144.3,8.0,50.73,405.84,4,5,Medium,1.0,550.14,690.4,725.39
Gujarat,Metal Craft,Iron,347.54,14.8,67.06,992.49,5,3,Medium,1.0,1340.03,1957.71,1946.49
Andhra Pradesh,Metal Craft,Brass,780.14,6.1,63.78,389.06,5,4,Medium,1.0,1169.2,1577.65,1733.77
West Bengal,Bamboo Toy,Bamboo,167.04,2.9,78.49,227.62,5,2,Very High,1.2,394.66,626.64,634.85
Rajasthan,Wooden Toy,Bamboo,97.35,2.6,60.59,157.53,5,5,Very High,1.2,254.88,432.62,456.18
Karnataka,Pottery,Terracotta,199.63,8.8,84.82,746.42,4,2,Low,0.9,946.05,1671.13,1405.66
Andhra Pradesh,Wood Craft,Bamboo,221.84,3.6,59.73,215.03,5,3,Low,0.9,436.87,570.94,566.83
West Bengal,Home Decor,Cotton,132.66,9.9,57.48,569.05,1,4,High,1.1,701.71,963.62,1030.53
Uttar Pradesh,Handmade Jewelry,Copper,847.87,10.9,74.69,814.12,5,5,Medium,1.0,1661.99,3344.68,2960.1
Karnataka,Home Decor,Bamboo,144.44,4.3,63.37,272.49,1,5,Medium,1.0,416.93,591.62,617.98
West Bengal,Home Decor,Cotton,278.96,11.5,65.64,754.86,5,1,Very High,1.2,1033.82,1501.75,1712.72
Odisha,Handmade Jewelry,Beads,132.67,7.8,72.35,564.33,5,1,Very High,1.2,697.0,1018.81,1098.29
Andhra Pradesh,Pottery,Clay,158.17,2.7,78.41,211.71,2,2,Very High,1.2,369.88,502.89,564.56
Andhra Pradesh,Pottery,Terracotta,72.64,7.7,75.9,584.43,3,5,Low,0.9,657.07,1165.55,985.6
Gujarat,Bamboo Craft,Cane,108.84,11.4,75.63,862.18,1,5,High,1.1,971.02,1251.75,1315.94
Kerala,Home Decor,Clay,75.37,5.7,63.2,360.24,4,3,Low,0.9,435.61,737.69,622.06
West Bengal,Bamboo Toy,Bamboo,78.55,2.1,67.71,142.19,2,3,Medium,1.0,220.74,344.42,304.21
Rajasthan,Bamboo Toy,Bamboo,69.18,6.5,50.44,327.86,5,5,High,1.1,397.04,502.34,576.17
Uttar Pradesh,Textile Craft,Wool,215.46,3.6,62.41,224.68,5,3,Low,0.9,440.14,728.78,665.66
Telangana,Clay/Terracotta Toy,Clay,138.13,2.8,66.49,186.17,2,2,Very High,1.2,324.3,517.09,521.67
Odisha,Handmade Jewelry,Beads,353.67,11.3,68.39,772.81,4,5,High,1.1,1126.48,1872.58,1860.01
Tamil Nadu,Metal Craft,Iron,336.77,13.3,70.35,935.65,2,4,High,1.1,1272.42,2360.38,2211.78
Kerala,Wood Craft,Bamboo,86.52,5.3,86.65,459.25,1,2,Low,0.9,545.76,806.46,689.59
Telangana,Metal Craft,Iron,415.98,4.8,63.14,303.07,2,1,Very High,1.2,719.05,841.02,1030.02
Telangana,Bamboo Craft,Bamboo,139.41,4.3,60.24,259.03,1,3,High,1.1,398.44,544.86,577.02
Odisha,Home Decor,Clay,53.89,11.0,72.58,798.38,3,1,Low,0.9,852.27,1069.25,1046.24
Karnataka,Bamboo Toy,Bamboo,53.42,6.1,60.8,370.88,1,3,Medium,1.0,424.3,568.96,548.8
Andhra Pradesh,Bamboo Toy,Cane,180.84,7.1,60.24,427.7,2,4,High,1.1,608.54,730.82,823.16
Gujarat,Textile Craft,Wool,438.91,7.8,83.37,650.29,3,5,Medium,1.0,1089.2,1918.65,1748.88
Odisha,Wood Craft,Wood,390.53,5.0,48.46,242.3,3,1,Low,0.9,632.83,850.13,804.57
Andhra Pradesh,Textile Craft,Silk,511.92,11.9,50.89,605.59,2,1,Medium,1.0,1117.51,1593.38,1462.71
Gujarat,Wood Craft,Wood,373.37,9.6,60.62,581.95,5,5,Low,0.9,955.32,1584.81,1424.63
Andhra Pradesh,Handmade Jewelry,Copper,558.19,3.1,50.23,155.71,2,5,Low,0.9,713.9,1229.41,1077.0
Tamil Nadu,Pottery,Clay,114.23,8.0,78.6,628.8,3,5,Very High,1.2,743.03,1271.71,1276.92
Gujarat,Pottery,Terracotta,94.77,5.5,58.79,323.34,3,3,Very High,1.2,418.11,475.79,592.4
Uttar Pradesh,Wooden Toy,Bamboo,93.77,8.5,66.5,565.25,4,5,Low,0.9,659.02,1066.11,916.08
Telangana,Pottery,Terracotta,142.26,3.1,61.44,190.46,1,3,Medium,1.0,332.72,535.3,473.48
Gujarat,Textile Craft,Silk,295.29,6.0,79.74,478.44,4,1,Low,0.9,773.73,1143.38,1056.68
Andhra Pradesh,Bamboo Craft,Cane,131.52,4.4,60.59,266.6,3,3,High,1.1,398.12,530.75,544.36
Uttar Pradesh,Textile Craft,Silk,437.72,10.6,64.84,687.3,1,5,Very High,1.2,1125.02,1757.29,1804.14
Andhra Pradesh,Metal Craft,Brass,849.13,10.2,56.69,578.24,2,4,Medium,1.0,1427.37,1835.26,2001.62
Andhra Pradesh,Wooden Toy,Wood,339.14,3.9,75.83,295.74,3,5,Medium,1.0,634.88,982.59,966.96
Odisha,Handmade Jewelry,Silver,742.98,3.5,60.31,211.09,1,1,Very High,1.2,954.07,1170.65,1366.86
Telangana,Home Decor,Wood,335.42,6.3,59.51,374.91,1,3,Low,0.9,710.33,812.87,827.47
Odisha,Handmade Jewelry,Brass,726.64,11.6,52.85,613.06,2,5,Very High,1.2,1339.7,2447.57,2420.71
Karnataka,Pottery,Clay,46.43,7.2,81.36,585.79,3,5,Medium,1.0,632.22,901.35,927.74
Andhra Pradesh,Wooden Toy,Wood,172.11,7.4,79.48,588.15,2,3,Low,0.9,760.26,1149.46,973.23
West Bengal,Wooden Toy,Bamboo,62.55,7.8,54.29,423.46,5,1,High,1.1,486.01,766.13,723.44
West Bengal,Textile Craft,Wool,315.06,9.0,64.85,583.65,1,4,Very High,1.2,898.71,1476.64,1478.0
Uttar Pradesh,Textile Craft,Silk,440.89,7.9,73.75,582.62,3,4,Medium,1.0,1023.51,1407.96,1389.85
Telangana,Pottery,Clay,103.09,4.0,58.32,233.28,2,2,Low,0.9,336.37,497.52,415.74
Telangana,Home Decor,Bamboo,83.53,11.9,70.1,834.19,2,1,High,1.1,917.72,1326.65,1394.73
Uttar Pradesh,Bamboo Craft,Bamboo,199.66,11.1,54.14,600.95,3,2,Very High,1.2,800.61,1335.55,1341.89
Uttar Pradesh,Bamboo Craft,Bamboo,190.76,4.6,54.77,251.94,4,1,Low,0.9,442.7,650.63,585.7
Gujarat,Clay/Terracotta Toy,Clay,120.24,3.3,56.82,187.51,3,4,Very High,1.2,307.75,349.54,424.48
Odisha,Home Decor,Wood,129.07,12.1,74.96,907.02,3,4,High,1.1,1036.09,1634.43,1587.86
Gujarat,Clay/Terracotta Toy,Terracotta,43.11,7.8,74.35,579.93,3,4,High,1.1,623.04,772.69,843.41
Karnataka,Textile Craft,Cotton,298.48,4.7,77.5,364.25,4,4,Low,0.9,662.73,937.56,927.46
Telangana,Handmade Jewelry,Beads,189.37,5.9,56.77,334.94,2,1,Very High,1.2,524.31,811.35,845.57
Tamil Nadu,Clay/Terracotta Toy,Terracotta,103.41,4.0,59.0,236.0,2,4,Very High,1.2,339.41,544.72,551.79
Telangana,Pottery,Clay,148.38,2.3,69.96,160.91,2,5,Low,0.9,309.29,440.18,400.73
Karnataka,Bamboo Toy,Bamboo,247.44,7.4,65.28,483.07,4,2,High,1.1,730.51,935.92,1044.23
Rajasthan,Wood Craft,Bamboo,240.24,7.6,53.35,405.46,1,4,Low,0.9,645.7,787.11,802.93
Kerala,Textile Craft,Wool,440.04,9.1,60.69,552.28,5,3,Very High,1.2,992.32,1398.34,1545.58
Gujarat,Home Decor,Cotton,238.95,4.6,70.98,326.51,3,5,Very High,1.2,565.46,865.78,922.51
Rajasthan,Metal Craft,Iron,405.68,12.5,54.51,681.38,3,4,High,1.1,1087.06,1720.0,1658.1
Gujarat,Bamboo Craft,Cane,194.48,5.3,72.67,385.15,1,4,Low,0.9,579.63,891.84,760.98
Andhra Pradesh,Wood Craft,Bamboo,133.04,4.2,73.39,308.24,5,1,Low,0.9,441.28,548.03,535.61
Tamil Nadu,Clay/Terracotta Toy,Clay,104.33,7.1,64.53,458.16,1,2,High,1.1,562.49,778.0,755.01
Andhra Pradesh,Bamboo Craft,Bamboo,120.78,8.4,58.91,494.84,1,2,Very High,1.2,615.62,737.52,830.3
Telangana,Wood Craft,Wood,143.59,8.9,65.96,587.04,4,5,Medium,1.0,730.63,1147.67,1089.15
Uttar Pradesh,Bamboo Toy,Cane,143.24,5.9,70.41,415.42,5,2,High,1.1,558.66,797.89,838.65
West Bengal,Clay/Terracotta Toy,Terracotta,154.06,8.0,52.03,416.24,2,3,Very High,1.2,570.3,844.27,913.02
Andhra Pradesh,Clay/Terracotta Toy,Terracotta,125.14,7.3,76.36,557.43,4,4,Medium,1.0,682.57,1080.36,995.24
Uttar Pradesh,Wooden Toy,Wood,92.32,7.5,48.43,363.23,4,5,High,1.1,455.55,703.55,689.83
Uttar Pradesh,Metal Craft,Brass,279.44,7.0,58.58,410.06,2,3,Low,0.9,689.5,1151.24,982.03
Telangana,Home Decor,Wood,158.34,12.0,72.23,866.76,1,2,Low,0.9,1025.1,1182.11,1178.86
West Bengal,Wood Craft,Bamboo,195.82,12.2,65.77,802.39,5,3,Very High,1.2,998.21,1684.71,1794.27
Tamil Nadu,Bamboo Craft,Cane,140.96,9.1,85.0,773.5,3,5,Very High,1.2,914.46,1053.21,1289.79
Odisha,Bamboo Craft,Bamboo,178.54,9.9,57.73,571.53,5,5,Low,0.9,750.07,1263.58,1113.11
Gujarat,Wooden Toy,Wood,95.21,2.1,74.46,156.37,2,3,Very High,1.2,251.58,350.28,384.09
Rajasthan,Bamboo Craft,Cane,76.98,6.7,73.54,492.72,4,4,Very High,1.2,569.7,1042.83,1023.89
Telangana,Clay/Terracotta Toy,Terracotta,184.74,6.2,56.57,350.73,4,1,Medium,1.0,535.47,680.1,726.17
Tamil Nadu,Textile Craft,Silk,604.06,5.9,63.41,374.12,4,1,Medium,1.0,978.18,1417.68,1392.95
Gujarat,Clay/Terracotta Toy,Terracotta,140.51,4.6,65.43,300.98,2,3,High,1.1,441.49,612.16,634.36
Karnataka,Bamboo Toy,Bamboo,75.24,4.5,79.25,356.62,4,2,Medium,1.0,431.87,570.16,586.97
Uttar Pradesh,Wooden Toy,Wood,196.87,5.8,63.66,369.23,5,4,Medium,1.0,566.1,792.68,820.78
Karnataka,Metal Craft,Brass,476.35,5.8,68.81,399.1,5,1,Very High,1.2,875.45,1589.83,1619.38
West Bengal,Metal Craft,Copper,519.71,6.9,50.59,349.07,3,5,Very High,1.2,868.78,1017.47,1265.66
Uttar Pradesh,Home Decor,Bamboo,219.99,8.4,52.24,438.82,4,4,Low,0.9,658.81,1205.22,1026.22
Rajasthan,Pottery,Terracotta,69.83,3.6,68.6,246.96,1,4,High,1.1,316.79,367.14,398.65
