state,region,craft_category,material,material_cost,labour_cost,labour_hours,product_size,complexity,current_market_price,demand_score,season_score,recommended_price
Kerala,South,Painting,Canvas,180.05,103.63,3.1,Small,1,390.44,0.82,0.84,443.46
Punjab,North,Jewelry,Terracotta,216.28,137.0,2.3,Medium,3,492.31,0.54,0.52,513.1
Madhya Pradesh,Central,Jewelry,Silver,125.2,645.85,10.8,Small,3,834.22,0.36,0.9,866.14
Kerala,South,Bamboo Craft,Bamboo,592.3,708.07,18.7,Medium,2,1621.41,0.45,0.36,1545.87
West Bengal,East,Pottery,Terracotta,465.99,181.27,4.3,Large,2,658.08,0.33,0.88,664.83
Kerala,South,Handloom Textile,Cotton,850.84,808.22,22.1,Large,2,1943.99,0.35,0.8,2051.46
Punjab,North,Handloom Textile,Silk,329.37,335.23,7.7,Medium,4,906.6,0.82,0.93,1009.98
Uttar Pradesh,North,Pottery,Clay,61.49,350.66,6.2,Small,3,547.93,0.55,0.95,613.52
Tamil Nadu,South,Jewelry,Silver,504.01,125.58,3.4,Medium,1,744.77,0.58,0.42,765.25
Rajasthan,West,Wooden Toy,Wood,615.51,492.83,9.2,Medium,4,1781.14,0.96,0.91,2014.79
Uttar Pradesh,North,Pottery,Clay,171.71,220.45,5.4,Small,3,558.49,0.88,0.62,642.52
Punjab,North,Wooden Toy,Wood,70.99,340.62,6.4,Small,2,453.8,0.41,0.73,485.73
West Bengal,East,Wooden Toy,Bamboo,394.76,532.2,11.1,Large,5,1235.98,0.43,0.5,1233.89
Punjab,North,Metal Craft,Copper,373.93,573.4,12.2,Medium,3,1208.93,0.76,0.52,1325.63
Odisha,East,Jewelry,Beads,556.44,257.5,6.1,Medium,3,1062.61,0.65,0.67,1073.3
Rajasthan,West,Handloom Textile,Silk,726.04,176.19,4.0,Large,4,1403.56,0.88,0.62,1615.16
Gujarat,West,Wooden Toy,Bamboo,578.0,643.65,15.2,Medium,1,1460.87,0.43,0.96,1594.28
Karnataka,South,Painting,Paper,271.57,446.75,7.5,Medium,2,891.41,0.67,0.4,927.7
Karnataka,South,Pottery,Terracotta,155.68,621.5,14.6,Large,2,1167.06,0.85,0.55,1220.77
Rajasthan,West,Painting,Paper,616.43,249.68,4.8,Large,4,1504.32,1.0,0.87,1703.84
West Bengal,East,Jewelry,Terracotta,342.26,674.34,11.3,Small,1,1017.72,0.58,0.99,1068.05
Uttar Pradesh,North,Stone Carving,Marble,194.77,509.17,9.6,Large,3,1028.2,0.9,0.85,1150.14
Assam,Northeast,Wooden Toy,Bamboo,715.31,701.54,12.7,Large,4,1890.61,0.77,0.79,2148.43
Andhra Pradesh,South,Painting,Cloth,331.69,666.62,12.5,Large,5,1540.09,0.64,0.92,1642.54
Punjab,North,Pottery,Terracotta,577.69,445.74,9.8,Medium,4,1453.04,0.53,0.49,1433.88
Uttar Pradesh,North,Pottery,Terracotta,572.39,546.55,15.3,Medium,5,1657.36,0.79,0.72,1759.99
Andhra Pradesh,South,Bamboo Craft,Bamboo,193.15,427.71,8.7,Small,4,980.42,0.67,0.84,1071.98
Punjab,North,Pottery,Terracotta,781.07,632.1,11.2,Large,5,2211.05,0.73,0.88,2342.79
Assam,Northeast,Painting,Canvas,383.75,412.49,8.1,Medium,1,847.21,0.63,0.89,931.03
Maharashtra,West,Handloom Textile,Cotton,126.0,651.95,11.8,Small,2,1128.44,0.85,0.53,1172.77
Punjab,North,Pottery,Clay,381.55,195.68,4.2,Medium,1,681.66,0.75,0.57,758.35
Kerala,South,Stone Carving,Soapstone,140.8,544.4,15.5,Medium,2,856.2,0.33,0.43,841.78
Madhya Pradesh,Central,Metal Craft,Bronze,568.61,331.21,10.8,Medium,1,1022.81,0.8,0.38,1046.39
Uttar Pradesh,North,Bamboo Craft,Cane,170.91,551.09,9.4,Small,3,883.88,0.56,0.88,972.97
Assam,Northeast,Handloom Textile,Wool,672.3,293.06,7.5,Large,1,875.4,0.39,0.57,901.14
Uttar Pradesh,North,Stone Carving,Soapstone,955.38,124.81,2.7,Large,4,1562.9,0.7,0.94,1716.12
Uttar Pradesh,North,Jewelry,Silver,215.08,126.72,4.0,Small,3,452.68,0.59,0.34,454.64
Tamil Nadu,South,Metal Craft,Brass,236.76,144.95,2.5,Small,1,481.37,0.93,0.43,528.65
Rajasthan,West,Handloom Textile,Wool,83.49,183.91,4.9,Small,5,489.2,0.94,0.9,552.83
Rajasthan,West,Bamboo Craft,Cane,601.21,1063.44,18.0,Medium,5,2667.96,0.39,0.41,2682.05
Madhya Pradesh,Central,Wooden Toy,Bamboo,56.46,96.29,1.7,Small,5,240.15,0.91,0.55,264.97
West Bengal,East,Handloom Textile,Silk,531.31,303.96,9.1,Medium,3,1053.94,0.6,0.62,1060.16
Punjab,North,Stone Carving,Marble,952.78,316.42,8.8,Large,5,1914.58,0.67,0.68,2101.03
Odisha,East,Handloom Textile,Cotton,369.33,636.06,12.3,Medium,1,1071.96,0.32,0.7,1029.94
West Bengal,East,Painting,Cloth,191.81,454.66,11.2,Small,3,765.84,0.62,0.99,791.7
Assam,Northeast,Handloom Textile,Silk,841.91,1117.31,25.3,Large,4,2635.35,0.66,0.89,2780.47
Kerala,South,Metal Craft,Brass,134.19,842.09,15.1,Large,1,1360.76,0.93,0.97,1553.8
Odisha,East,Stone Carving,Soapstone,493.47,1195.26,22.9,Large,1,2010.63,0.68,0.36,2082.86
Telangana,South,Painting,Paper,177.17,396.7,7.9,Small,4,779.51,0.45,0.89,790.25
Telangana,South,Jewelry,Silver,307.58,854.97,14.5,Medium,2,1497.1,0.87,0.96,1602.02
Assam,Northeast,Handloom Textile,Wool,245.2,230.33,4.2,Small,1,484.51,0.77,0.98,535.76
Assam,Northeast,Bamboo Craft,Cane,541.04,415.01,8.7,Large,4,1181.56,0.61,0.61,1177.53
Telangana,South,Bamboo Craft,Bamboo,558.56,339.45,11.3,Large,4,1270.11,0.52,0.5,1254.18
Rajasthan,West,Jewelry,Terracotta,364.3,674.9,13.8,Medium,3,1618.17,0.86,0.62,1823.77
Punjab,North,Jewelry,Beads,199.7,374.43,8.7,Small,5,803.94,0.59,0.83,842.36
Madhya Pradesh,Central,Metal Craft,Copper,308.3,439.24,11.9,Large,2,895.51,0.71,0.86,959.92
Madhya Pradesh,Central,Jewelry,Silver,396.07,314.87,7.5,Small,3,950.22,0.88,0.81,1020.62
Punjab,North,Wooden Toy,Bamboo,342.26,758.04,16.8,Medium,2,1507.21,0.78,0.71,1598.98
Odisha,East,Bamboo Craft,Cane,603.4,289.03,5.7,Large,4,1303.94,0.81,0.33,1367.03
Telangana,South,Bamboo Craft,Bamboo,93.43,200.63,5.6,Small,2,394.22,0.59,0.57,423.94
Madhya Pradesh,Central,Wooden Toy,Bamboo,629.9,173.79,3.0,Large,5,1205.9,0.78,0.32,1228.58
Tamil Nadu,South,Bamboo Craft,Cane,404.36,417.43,9.8,Medium,2,1057.64,0.92,0.61,1218.24
Karnataka,South,Pottery,Terracotta,595.5,598.9,13.6,Medium,2,1321.55,0.37,0.85,1302.15
Karnataka,South,Pottery,Terracotta,571.4,199.53,6.6,Large,4,1064.65,0.6,0.4,1048.88
Kerala,South,Jewelry,Silver,121.78,482.98,8.9,Small,1,659.63,0.62,0.65,664.36
Andhra Pradesh,South,Jewelry,Beads,224.24,584.49,11.2,Medium,5,1217.98,0.72,0.57,1335.93
Kerala,South,Jewelry,Terracotta,425.58,989.49,21.8,Large,1,1931.27,0.82,0.94,2155.69
Punjab,North,Painting,Paper,366.44,365.87,6.3,Medium,3,956.25,0.62,0.39,949.43
Uttar Pradesh,North,Painting,Cloth,225.89,288.96,7.2,Small,1,571.58,0.35,0.96,615.36
Tamil Nadu,South,Pottery,Clay,285.45,668.42,15.0,Medium,5,1390.31,0.44,0.39,1345.37
Andhra Pradesh,South,Wooden Toy,Bamboo,639.03,108.09,2.5,Medium,1,906.7,0.62,0.51,911.29
Punjab,North,Bamboo Craft,Cane,518.99,358.05,7.5,Medium,4,1385.03,0.8,0.92,1551.21
Telangana,South,Bamboo Craft,Bamboo,297.5,557.15,10.5,Medium,1,1081.02,0.91,0.37,1198.45
Madhya Pradesh,Central,Bamboo Craft,Cane,482.59,474.2,11.2,Large,1,1007.7,0.72,1.0,1074.94
Gujarat,West,Painting,Canvas,256.79,163.68,3.5,Large,5,734.05,0.68,0.44,788.91
West Bengal,East,Pottery,Clay,337.64,686.71,11.5,Large,1,1081.44,0.56,0.83,1184.12
Kerala,South,Bamboo Craft,Bamboo,765.98,1112.87,20.0,Large,4,2898.88,0.96,0.71,3194.6
Punjab,North,Stone Carving,Marble,315.41,289.74,8.2,Small,2,655.01,0.34,0.78,669.93
Odisha,East,Handloom Textile,Wool,311.36,233.99,7.2,Small,1,533.95,0.43,0.45,543.17
West Bengal,East,Metal Craft,Brass,226.39,102.49,3.2,Small,1,334.57,0.42,0.99,365.98
West Bengal,East,Metal Craft,Copper,832.95,814.09,15.9,Large,2,1746.65,0.43,0.78,1875.74
Gujarat,West,Wooden Toy,Wood,126.89,501.57,15.2,Medium,1,878.73,0.92,0.51,956.92
West Bengal,East,Metal Craft,Bronze,427.69,1133.46,19.4,Large,4,1969.14,0.33,0.94,2103.29
Kerala,South,Painting,Paper,294.97,555.05,9.9,Medium,5,1210.53,0.59,0.67,1227.95
Rajasthan,West,Handloom Textile,Wool,274.59,422.55,8.9,Small,1,798.63,0.4,0.61,813.03
Andhra Pradesh,South,Wooden Toy,Wood,354.62,308.94,9.5,Small,3,1044.34,0.92,0.63,1105.31
Assam,Northeast,Handloom Textile,Cotton,683.4,371.1,8.6,Large,5,1204.69,0.31,0.41,1157.71
Andhra Pradesh,South,Stone Carving,Soapstone,85.01,265.49,8.6,Small,5,619.18,0.73,0.4,681.57
Gujarat,West,Pottery,Terracotta,206.28,382.42,12.4,Medium,4,912.19,0.95,0.67,994.58
Uttar Pradesh,North,Bamboo Craft,Cane,123.04,425.83,8.5,Medium,1,582.08,0.63,0.57,594.93
Telangana,South,Jewelry,Terracotta,85.05,337.17,9.9,Small,5,649.94,0.72,0.54,700.71
Andhra Pradesh,South,Pottery,Terracotta,503.88,621.21,13.0,Large,2,1479.35,0.64,0.51,1577.6
Madhya Pradesh,Central,Stone Carving,Marble,94.95,310.96,9.8,Medium,2,456.02,0.43,0.69,488.83
Rajasthan,West,Jewelry,Beads,74.48,265.95,5.6,Small,5,554.03,0.4,0.84,599.45
Andhra Pradesh,South,Pottery,Terracotta,52.97,186.37,3.4,Small,5,360.71,0.77,0.93,402.08
Tamil Nadu,South,Jewelry,Silver,398.67,99.89,2.2,Medium,1,588.52,0.73,0.43,629.9
Rajasthan,West,Stone Carving,Soapstone,213.91,418.82,10.4,Small,2,891.08,0.49,0.99,899.83
Telangana,South,Wooden Toy,Wood,511.61,107.89,3.5,Medium,2,819.28,0.49,0.49,856.77
Gujarat,West,Pottery,Clay,393.56,374.42,8.8,Small,5,1384.56,0.79,1.0,1583.4
Madhya Pradesh,Central,Metal Craft,Bronze,605.48,184.12,3.6,Medium,1,824.96,0.9,0.97,930.41
West Bengal,East,Stone Carving,Soapstone,691.67,427.33,8.9,Large,3,1336.71,0.48,0.53,1373.59
Odisha,East,Pottery,Clay,207.28,249.33,6.4,Small,3,509.2,0.41,0.33,512.35
Punjab,North,Jewelry,Silver,520.22,152.98,4.6,Medium,5,1161.24,0.82,0.51,1277.12
West Bengal,East,Jewelry,Beads,394.48,457.11,10.0,Large,2,867.66,0.36,0.38,887.74
Telangana,South,Wooden Toy,Wood,551.64,135.55,2.7,Large,2,835.58,0.6,0.66,885.34
Kerala,South,Jewelry,Terracotta,942.49,165.63,4.3,Large,3,1441.19,0.47,0.47,1517.13
Karnataka,South,Stone Carving,Marble,886.8,356.42,7.7,Large,5,2009.86,0.75,0.67,2094.81
Gujarat,West,Painting,Canvas,353.4,468.64,8.7,Medium,3,1166.29,0.83,0.39,1298.05
Punjab,North,Painting,Paper,379.88,530.13,16.7,Medium,3,1304.18,0.67,0.68,1330.56
Gujarat,West,Handloom Textile,Silk,321.97,733.28,13.1,Large,1,1574.6,0.96,0.99,1697.9
Telangana,South,Jewelry,Beads,66.7,105.21,2.6,Small,1,207.45,0.88,0.92,235.29
Tamil Nadu,South,Handloom Textile,Cotton,371.08,201.95,6.1,Small,5,919.04,0.62,0.56,957.23
Karnataka,South,Pottery,Terracotta,134.57,1324.36,28.6,Large,4,2029.64,0.63,0.97,2127.3
Punjab,North,Wooden Toy,Bamboo,798.73,501.98,9.3,Large,5,1893.63,0.49,0.32,1847.97
Madhya Pradesh,Central,Bamboo Craft,Cane,504.39,744.43,12.9,Medium,5,1902.1,0.85,0.43,2071.56
Uttar Pradesh,North,Pottery,Terracotta,284.13,481.59,10.2,Small,5,1111.26,0.63,0.75,1144.13
Andhra Pradesh,South,Wooden Toy,Bamboo,637.93,278.62,8.6,Large,5,1285.84,0.3,0.73,1337.22
Madhya Pradesh,Central,Stone Carving,Marble,435.15,641.63,15.2,Large,5,1648.94,0.76,0.55,1845.63
Uttar Pradesh,North,Wooden Toy,Bamboo,346.81,482.56,11.1,Small,5,1316.47,0.68,0.82,1480.88
Andhra Pradesh,South,Bamboo Craft,Bamboo,481.15,776.74,19.2,Medium,2,1806.96,0.88,0.79,1965.68
West Bengal,East,Stone Carving,Marble,519.94,636.08,17.4,Medium,4,1753.93,0.74,0.57,1868.67
Gujarat,West,Bamboo Craft,Cane,129.91,258.0,5.2,Small,3,565.22,0.35,0.72,597.95
Uttar Pradesh,North,Handloom Textile,Wool,73.69,606.45,11.9,Small,3,794.4,0.41,0.31,819.77
Telangana,South,Painting,Cloth,92.12,300.5,5.7,Medium,2,544.71,0.71,0.85,563.49
Karnataka,South,Jewelry,Silver,579.81,260.97,5.6,Medium,5,1501.4,0.75,0.42,1584.41
Assam,Northeast,Wooden Toy,Bamboo,168.42,1289.64,27.1,Large,4,2066.49,0.79,0.67,2128.1
Karnataka,South,Stone Carving,Marble,345.44,478.01,14.8,Large,4,1224.54,0.79,0.58,1247.88
Rajasthan,West,Metal Craft,Copper,301.94,426.88,10.2,Small,1,953.55,0.69,0.46,949.57
Rajasthan,West,Bamboo Craft,Cane,353.64,742.34,12.9,Medium,1,1380.96,0.57,0.84,1536.58
Tamil Nadu,South,Jewelry,Beads,189.43,254.76,4.5,Small,1,450.32,0.33,0.4,462.64
West Bengal,East,Bamboo Craft,Cane,53.71,457.15,10.5,Small,4,588.24,0.3,0.58,596.46
Karnataka,South,Bamboo Craft,Cane,287.78,199.78,6.4,Small,4,783.41,0.76,0.89,890.81
Gujarat,West,Stone Carving,Soapstone,192.29,682.25,17.2,Medium,4,1348.42,0.31,0.89,1407.75
Kerala,South,Metal Craft,Brass,209.6,263.99,6.0,Medium,4,810.73,0.93,0.4,857.87
Kerala,South,Bamboo Craft,Cane,799.21,1143.42,26.7,Large,4,2852.29,0.56,0.86,3094.94
Karnataka,South,Stone Carving,Marble,267.99,149.43,2.7,Small,2,488.56,0.44,0.95,527.04
Telangana,South,Wooden Toy,Wood,239.41,282.96,7.2,Medium,4,878.09,0.82,0.69,937.79
Madhya Pradesh,Central,Stone Carving,Marble,292.2,321.26,9.3,Small,2,653.94,0.58,0.64,672.83
Maharashtra,West,Metal Craft,Brass,464.4,276.92,5.4,Medium,4,1284.84,0.95,0.7,1362.27
West Bengal,East,Painting,Paper,846.16,479.67,9.9,Large,2,1782.87,0.99,0.72,1984.57
Rajasthan,West,Jewelry,Terracotta,170.71,729.67,23.5,Large,4,1567.37,0.79,0.32,1591.59
Kerala,South,Pottery,Clay,230.0,332.32,7.6,Small,2,685.52,0.54,0.63,709.48
Kerala,South,Stone Carving,Marble,421.49,642.48,17.3,Large,2,1428.1,0.99,0.65,1586.33
Karnataka,South,Stone Carving,Soapstone,847.79,151.16,3.0,Large,1,1289.41,0.68,0.42,1329.67
Gujarat,West,Painting,Cloth,244.53,796.32,16.2,Medium,4,1838.16,0.93,0.74,2117.95
Tamil Nadu,South,Jewelry,Silver,165.98,1108.62,22.9,Large,2,1403.95,0.35,0.66,1460.75
Madhya Pradesh,Central,Bamboo Craft,Bamboo,386.04,653.09,18.4,Medium,1,1119.7,0.72,0.45,1209.04
Assam,Northeast,Metal Craft,Bronze,302.81,556.07,10.0,Small,4,1047.52,0.35,0.54,1052.75
Andhra Pradesh,South,Painting,Paper,116.74,299.78,7.1,Small,5,637.77,0.57,0.87,645.57
Odisha,East,Bamboo Craft,Bamboo,168.77,1470.45,25.0,Large,2,2169.87,0.78,0.56,2369.34
Andhra Pradesh,South,Pottery,Clay,552.83,624.75,15.1,Medium,1,1361.56,0.64,0.43,1459.22
Telangana,South,Handloom Textile,Cotton,580.63,632.96,14.4,Medium,1,1316.4,0.36,0.34,1299.0
Odisha,East,Handloom Textile,Cotton,263.19,65.66,1.1,Small,4,436.08,0.55,0.89,445.97
Gujarat,West,Metal Craft,Bronze,789.96,966.87,21.1,Large,2,2477.66,0.66,0.36,2684.91
Andhra Pradesh,South,Stone Carving,Soapstone,132.22,353.83,6.2,Medium,1,566.4,0.5,0.76,598.76
West Bengal,East,Jewelry,Terracotta,195.53,135.26,4.3,Small,3,452.9,0.82,0.82,506.65
Tamil Nadu,South,Metal Craft,Copper,216.48,108.52,2.0,Medium,3,419.47,0.64,0.51,418.72
Madhya Pradesh,Central,Jewelry,Silver,275.37,909.48,15.8,Medium,1,1422.63,0.93,0.94,1611.58
Kerala,South,Wooden Toy,Wood,126.8,356.83,9.8,Small,3,649.43,0.49,0.46,649.87
Andhra Pradesh,South,Metal Craft,Copper,166.33,539.69,9.6,Medium,5,1074.42,0.7,0.91,1129.66
Tamil Nadu,South,Jewelry,Silver,402.32,488.09,9.8,Medium,4,1528.36,0.86,0.83,1676.25
Rajasthan,West,Stone Carving,Soapstone,122.24,236.59,7.1,Small,1,426.6,0.5,0.45,417.34
Uttar Pradesh,North,Wooden Toy,Wood,97.83,637.66,13.2,Medium,3,946.21,0.8,0.76,1011.39
Madhya Pradesh,Central,Stone Carving,Soapstone,95.33,539.79,10.3,Small,3,782.36,0.44,0.54,805.3
Andhra Pradesh,South,Jewelry,Silver,330.4,141.58,3.9,Small,2,671.47,0.85,0.78,744.8
Uttar Pradesh,North,Pottery,Clay,593.41,830.58,21.8,Large,2,1657.16,0.55,0.91,1776.24
Andhra Pradesh,South,Painting,Canvas,295.92,516.7,12.0,Small,5,1351.54,0.6,0.89,1485.94
Odisha,East,Stone Carving,Soapstone,509.11,530.88,11.0,Large,4,1396.38,0.91,0.92,1558.29
Punjab,North,Handloom Textile,Wool,510.37,1419.59,28.2,Large,2,2386.45,0.59,0.32,2337.52
Karnataka,South,Bamboo Craft,Bamboo,547.29,648.47,14.8,Medium,5,1803.68,0.6,0.93,1888.77
Madhya Pradesh,Central,Metal Craft,Bronze,605.95,862.98,15.8,Medium,3,1511.74,0.44,0.4,1480.32
Maharashtra,West,Pottery,Terracotta,320.97,186.74,3.6,Small,4,829.0,0.48,0.58,829.25
Gujarat,West,Wooden Toy,Wood,436.15,342.87,10.3,Large,3,1182.06,0.64,0.57,1286.38
Madhya Pradesh,Central,Bamboo Craft,Cane,240.49,67.99,1.4,Small,5,399.16,0.34,0.73,393.48
Karnataka,South,Handloom Textile,Wool,538.83,957.31,17.6,Medium,4,2323.95,0.51,0.71,2379.02
Uttar Pradesh,North,Pottery,Clay,539.22,54.2,1.8,Medium,5,997.05,0.83,0.83,1151.68
Gujarat,West,Jewelry,Beads,219.04,485.45,8.5,Large,3,974.04,0.42,0.78,963.39
Andhra Pradesh,South,Bamboo Craft,Bamboo,149.84,372.32,6.7,Small,5,865.63,0.8,0.74,924.58
Andhra Pradesh,South,Wooden Toy,Bamboo,220.17,407.29,13.2,Large,5,930.45,0.45,0.6,907.47
Telangana,South,Metal Craft,Brass,409.87,365.48,11.3,Medium,3,1257.63,0.96,0.37,1290.56
West Bengal,East,Pottery,Clay,358.8,63.28,1.2,Small,1,440.0,0.55,0.82,444.56
West Bengal,East,Handloom Textile,Silk,318.63,103.79,1.8,Small,2,475.35,0.34,0.64,475.36
Telangana,South,Bamboo Craft,Cane,126.03,503.17,9.4,Small,2,888.85,0.95,0.56,962.88
Assam,Northeast,Handloom Textile,Wool,139.98,373.76,9.3,Small,1,545.56,0.6,0.58,596.83
Uttar Pradesh,North,Stone Carving,Soapstone,453.38,528.42,9.9,Medium,1,1070.43,0.75,0.34,1068.04
Madhya Pradesh,Central,Metal Craft,Bronze,209.89,397.86,10.1,Small,4,811.67,0.57,0.94,885.7
Odisha,East,Metal Craft,Copper,143.38,70.11,2.3,Small,1,217.42,0.37,0.5,208.29
Assam,Northeast,Stone Carving,Marble,234.43,352.51,7.2,Large,3,685.75,0.73,0.69,727.99
Kerala,South,Metal Craft,Brass,201.22,478.22,8.4,Large,5,1277.55,0.99,0.75,1455.82
Tamil Nadu,South,Jewelry,Terracotta,98.59,629.7,19.1,Medium,5,1177.18,0.78,0.48,1274.93
West Bengal,East,Handloom Textile,Silk,202.77,152.13,3.8,Small,3,460.92,0.54,0.97,490.95
Telangana,South,Handloom Textile,Wool,287.85,826.23,23.8,Large,4,1690.57,0.45,0.56,1659.81
Kerala,South,Painting,Canvas,222.68,589.7,15.4,Large,4,1217.5,0.7,0.62,1243.68
Rajasthan,West,Bamboo Craft,Cane,99.37,565.76,10.0,Small,4,904.69,0.46,0.38,923.5
Kerala,South,Painting,Canvas,300.37,256.99,5.1,Small,2,693.85,0.8,0.95,744.53
Odisha,East,Painting,Paper,73.98,564.66,10.5,Small,3,784.84,0.7,0.36,801.53
Karnataka,South,Metal Craft,Brass,246.26,122.32,3.8,Small,4,570.72,0.81,0.51,588.2
Uttar Pradesh,North,Handloom Textile,Cotton,330.89,410.74,7.2,Small,1,916.34,0.65,0.96,1003.89
Gujarat,West,Handloom Textile,Silk,904.47,446.56,10.9,Large,4,2014.72,0.33,0.71,2106.3
Tamil Nadu,South,Bamboo Craft,Bamboo,245.85,497.81,14.1,Large,1,996.03,0.76,0.41,1022.67
Gujarat,West,Jewelry,Silver,151.99,455.04,10.4,Small,1,643.05,0.32,0.65,682.83
Punjab,North,Wooden Toy,Wood,255.84,178.26,3.8,Small,1,495.2,0.35,0.86,530.96
Telangana,South,Bamboo Craft,Bamboo,169.62,142.84,4.6,Small,1,385.57,0.76,0.67,434.41
West Bengal,East,Stone Carving,Marble,108.76,35.42,1.1,Small,2,161.31,0.46,0.32,158.75
Maharashtra,West,Painting,Canvas,181.07,534.78,14.8,Medium,3,1090.06,0.78,0.54,1222.35
Maharashtra,West,Bamboo Craft,Bamboo,63.07,361.61,6.5,Small,5,706.59,0.71,0.49,760.91
Madhya Pradesh,Central,Metal Craft,Bronze,868.28,112.51,3.5,Large,1,937.58,0.53,0.46,933.47
Karnataka,South,Wooden Toy,Wood,284.49,336.51,5.8,Large,3,770.93,0.4,0.44,810.61
Tamil Nadu,South,Jewelry,Silver,314.5,321.48,9.7,Small,2,843.8,0.89,0.59,929.58
Karnataka,South,Handloom Textile,Silk,540.42,867.51,15.3,Medium,2,1957.75,0.95,0.47,2025.69
Rajasthan,West,Metal Craft,Brass,858.63,362.99,6.5,Large,4,1690.18,0.53,0.56,1716.1
Uttar Pradesh,North,Pottery,Terracotta,360.93,54.85,1.3,Small,1,407.71,0.32,0.56,397.71
Andhra Pradesh,South,Pottery,Terracotta,571.46,355.39,9.3,Medium,1,1085.2,0.71,0.4,1143.84
Odisha,East,Stone Carving,Marble,213.01,608.53,13.6,Medium,1,874.96,0.84,0.96,959.92
Karnataka,South,Bamboo Craft,Bamboo,258.95,233.53,4.3,Medium,5,829.42,0.83,0.64,859.58
Rajasthan,West,Bamboo Craft,Cane,244.43,457.98,9.7,Small,3,959.32,0.49,0.77,1007.87
Odisha,East,Metal Craft,Copper,220.65,268.14,5.2,Small,3,720.06,0.92,0.3,772.96
Maharashtra,West,Stone Carving,Soapstone,708.61,1100.33,25.0,Large,1,2274.09,0.88,0.42,2489.41
Punjab,North,Wooden Toy,Wood,850.92,1282.12,26.0,Large,2,2906.66,0.67,0.53,3003.37
Rajasthan,West,Bamboo Craft,Cane,496.74,530.81,11.0,Medium,4,1602.14,0.58,0.98,1806.79
Assam,Northeast,Pottery,Clay,126.38,901.52,17.5,Large,4,1250.04,0.82,0.93,1314.5
Madhya Pradesh,Central,Metal Craft,Brass,215.29,77.01,1.3,Small,3,304.79,0.46,0.63,314.51
Kerala,South,Bamboo Craft,Cane,292.78,96.13,2.4,Medium,3,503.05,0.57,0.99,544.07
Maharashtra,West,Jewelry,Beads,949.35,1393.36,23.3,Large,4,4155.99,0.98,0.64,4424.7
Odisha,East,Stone Carving,Marble,490.57,1074.81,23.8,Large,2,1827.38,0.79,0.82,2085.4
Gujarat,West,Jewelry,Terracotta,337.5,296.6,5.3,Medium,5,1050.71,0.59,0.83,1106.13
West Bengal,East,Painting,Paper,800.3,742.56,17.8,Large,2,1536.27,0.38,0.93,1661.87
Gujarat,West,Pottery,Terracotta,422.37,1112.95,19.3,Large,5,2515.2,0.41,0.7,2655.4
Punjab,North,Handloom Textile,Wool,233.97,416.53,7.9,Small,2,836.92,0.89,0.83,981.68
Rajasthan,West,Wooden Toy,Wood,202.08,53.14,1.3,Small,3,333.29,0.39,0.39,317.07
West Bengal,East,Painting,Canvas,290.98,64.98,1.8,Small,1,343.1,0.37,0.34,343.03
Rajasthan,West,Stone Carving,Marble,620.22,956.73,17.0,Medium,4,2130.26,0.42,0.49,2220.01
Kerala,South,Jewelry,Silver,74.44,265.8,7.1,Small,2,442.36,0.47,0.99,486.03
Karnataka,South,Bamboo Craft,Bamboo,600.47,1253.86,25.4,Large,2,2670.67,0.96,0.5,2986.03
Gujarat,West,Wooden Toy,Bamboo,300.04,1015.64,17.1,Medium,1,1655.08,0.65,0.57,1810.37
Madhya Pradesh,Central,Pottery,Clay,441.46,111.04,2.4,Medium,5,661.98,0.31,0.84,675.09
Assam,Northeast,Bamboo Craft,Bamboo,329.54,52.13,1.5,Small,3,435.47,0.58,0.46,474.34
Kerala,South,Pottery,Clay,338.9,621.79,10.7,Small,1,1067.85,0.54,0.51,1141.03
Odisha,East,Jewelry,Silver,287.84,148.72,3.6,Small,4,635.06,0.65,0.67,665.99
Madhya Pradesh,Central,Bamboo Craft,Cane,588.77,492.48,9.4,Medium,4,1374.7,0.95,0.94,1507.95
Madhya Pradesh,Central,Stone Carving,Soapstone,520.6,679.33,13.8,Large,1,1334.76,0.96,0.38,1400.68
Telangana,South,Pottery,Clay,362.94,514.59,11.6,Small,1,1014.85,0.37,0.85,1032.14
Odisha,East,Bamboo Craft,Bamboo,360.59,546.81,11.7,Small,4,1265.88,0.7,0.51,1328.86
Assam,Northeast,Jewelry,Terracotta,249.23,105.23,2.8,Medium,5,465.14,0.44,0.68,484.87
Madhya Pradesh,Central,Metal Craft,Bronze,446.07,742.87,13.5,Large,3,1402.99,0.63,0.99,1548.04
Madhya Pradesh,Central,Handloom Textile,Silk,67.63,455.45,8.2,Small,3,652.94,0.96,1.0,750.08
Tamil Nadu,South,Jewelry,Silver,498.6,600.72,17.3,Large,2,1516.8,0.9,0.94,1665.81
Gujarat,West,Wooden Toy,Wood,158.87,535.39,13.6,Medium,2,1052.04,0.94,0.77,1181.83
Assam,Northeast,Pottery,Terracotta,105.63,879.09,18.0,Medium,3,1347.18,1.0,0.68,1434.08
Uttar Pradesh,North,Jewelry,Beads,271.11,501.54,9.4,Small,1,1019.23,0.84,0.46,1152.64
Punjab,North,Stone Carving,Soapstone,76.46,437.12,11.3,Small,3,772.56,0.78,0.54,792.37
Tamil Nadu,South,Pottery,Clay,358.74,362.0,9.1,Medium,5,1228.7,0.75,0.39,1361.95
